Iteration	Posterior	Likelihood	Prior	br_len_lambda	tree_length
3720	-14084.63	-14534.02	449.3889	88.28045	7.109787
3730	-14041.78	-14514.87	473.0883	81.82164	6.822375
3740	-14091.14	-14537.35	446.2053	84.44115	7.153901
3750	-14071.23	-14532.54	461.3055	83.91588	6.973959
3760	-14128.48	-14566.63	438.1513	80.14628	7.245301
3770	-14036.94	-14527.44	490.5002	85.35861	6.634298
3780	-14065.61	-14527.7	462.0876	87.80121	6.96668
3790	-14024.86	-14512.22	487.3571	86.1015	6.674134
3800	-14048.96	-14513.16	464.2022	86.55093	6.943201
3810	-14069.95	-14528.39	458.4363	83.97129	7.00826
3820	-14035.33	-14507.16	471.8316	89.05105	6.854925
3830	-14080.7	-14521.63	440.9292	84.30244	7.216515
3840	-14054.28	-14519.85	465.5698	80.91669	6.908749
3850	-14111.36	-14555.78	444.4172	81.87642	7.172912
3860	-14109.72	-14552.59	442.8732	77.9381	7.173766
3870	-14057.37	-14509.78	452.4152	89.33982	7.071885
3880	-14038.75	-14504.2	465.4459	88.19376	6.928013
3890	-14016.87	-14499.91	483.0462	89.44708	6.72902
3900	-14062.73	-14513.38	450.6488	81.48416	7.095447
3910	-14045.28	-14501.8	456.5255	87.83649	7.029956
3920	-14053.38	-14498.59	445.2116	82.30672	7.164136
3930	-14035.8	-14519.14	483.3385	84.79473	6.715821
3940	-14067.1	-14512.18	445.0792	81.66491	7.164295
3950	-14056.1	-14526.15	470.0477	90.09348	6.873056
3960	-14101.13	-14545.87	444.7463	89.90488	7.15489
3970	-14049.28	-14529.28	479.9951	90.99058	6.761403
3980	-14040.74	-14523.43	482.691	95.14294	6.719574
3990	-14068.37	-14550.48	482.1094	88.30043	6.739162
4000	-14006.04	-14498.62	492.5785	95.74772	6.613566
4010	-14034.04	-14517.78	483.7441	91.23066	6.719868
4020	-14072.83	-14533.7	460.874	91.97609	6.967204
4030	-14036.03	-14516.34	480.3118	93.04801	6.752818
4040	-14068.58	-14529.79	461.2115	79.77033	6.954822
4050	-14072.3	-14528.45	456.1538	82.58376	7.032119
4060	-14065.14	-14527.37	462.227	88.89387	6.963143
4070	-14051.18	-14548.23	497.0449	90.2931	6.573597
4080	-14026.24	-14497.94	471.7006	87.67781	6.857197
4090	-14042.35	-14523.05	480.6979	93.08976	6.748536
4100	-14028.16	-14505.62	477.4535	90.25744	6.790625
4110	-14046.1	-14512.74	466.6413	82.7509	6.905901
4120	-14013.79	-14497.95	484.1647	92.46611	6.712909
4130	-14045.34	-14523.68	478.3366	91.14678	6.779317
4140	-14068.78	-14550.48	481.6958	90.65317	6.743185
4150	-14061.87	-14530.02	468.154	89.04156	6.896238
4160	-14036.85	-14507.14	470.2897	94.59496	6.85296
4170	-14025.08	-14501.46	476.3731	89.07169	6.803913
4180	-14057.39	-14503.66	446.2738	85.73824	7.151905
4190	-14025.09	-14482.38	457.2863	86.26293	7.023306
4200	-14088.24	-14519.58	431.3446	88.56117	7.312557
4210	-14110.61	-14567.77	457.1534	86.991	7.024182
4220	-14112.37	-14552.33	439.962	82.57025	7.228174
4230	-14078.42	-14537.55	459.1344	89.6382	6.995745
4240	-14054.91	-14512.03	457.1149	89.15141	7.019879
4250	-14068.44	-14515.57	447.1266	86.98815	7.139453
4260	-14036.15	-14496.82	460.6702	93.90776	6.958948
4270	-14047.17	-14527.52	480.3548	90.3973	6.758318
4280	-14053.13	-14505.21	452.0779	86.65375	7.083123
4290	-14084.1	-14521.52	437.4274	85.48277	7.255756
4300	-14043.11	-14515.24	472.126	88.83174	6.851846
4310	-14077.18	-14542.06	464.8736	85.94615	6.935152
